state,year,poor,core
New Hampshire,2000,0.060953053,0.550210618
New Hampshire,2001,0.061537791,0.605445806
New Hampshire,2002,0.057481322,0.588761980
New Hampshire,2003,0.058523154,0.692888745
New Hampshire,2004,0.066005514,0.758999055
New Hampshire,2005,0.060378645,0.765501638
New Hampshire,2006,0.057595671,0.693941150
New Hampshire,2007,0.060648587,0.512825637
New Hampshire,2008,0.069757367,0.483440823
New Hampshire,2009,0.087448529,0.603535188
New Hampshire,2010,0.080657544,0.627046691
New Hampshire,2011,0.073902045,0.636973543
New Hampshire,2012,0.090325836,0.583248437
New Hampshire,2013,0.095547057,0.560732753
New Hampshire,2014,0.096450368,0.607377735
New Jersey,1997,0.110899584,0.790660185
New Jersey,1998,0.105546422,0.796191580
New Jersey,1999,0.096282138,0.789984771
New Jersey,2000,0.089238467,0.811455144
New Jersey,2001,0.085130517,0.504349078
New Jersey,2002,0.086503351,0.380452741
New Jersey,2003,0.088714577,0.453742973
New Jersey,2004,0.084638260,0.449525986
New Jersey,2005,0.074688240,0.541640173
New Jersey,2006,0.086488228,0.593741702
New Jersey,2007,0.097321113,0.465543455
New Jersey,2008,0.101604807,0.412349205
New Jersey,2009,0.108571477,0.340946778
New Jersey,2010,0.115985968,0.321062728
New Jersey,2011,0.141860217,0.359363346
New Jersey,2012,0.139816310,0.340998825
New Jersey,2013,0.125675122,0.373376190
New Jersey,2014,0.136643575,0.343801987
New Mexico,1997,0.259541036,0.789726676
New Mexico,1998,0.231898594,0.933211270
New Mexico,1999,0.233074255,0.857691655
New Mexico,2000,0.226711797,0.903193025
New Mexico,2001,0.208946043,0.835115828
New Mexico,2002,0.202971761,0.797132081
New Mexico,2003,0.216778272,0.816781038
New Mexico,2004,0.219948503,0.737392103
New Mexico,2005,0.200772299,0.763544551
New Mexico,2006,0.195053241,0.856517690
New Mexico,2007,0.176247384,0.812346911
New Mexico,2008,0.204806253,0.686027045
New Mexico,2009,0.249872109,0.572934597
New Mexico,2010,0.260338138,0.611687240
New Mexico,2011,0.281070555,0.554722912
New Mexico,2012,0.283355737,0.500939782
New Mexico,2013,0.260011090,0.460258805
New Mexico,2014,0.247705346,0.448909146
New York,1997,0.214222009,0.709932853
New York,1998,0.208867788,0.703220448
New York,1999,0.199343189,0.708052332
New York,2000,0.177367542,0.556351052
New York,2001,0.166038608,0.544979395
New York,2002,0.167108171,0.502772112
New York,2003,0.168534915,0.428433815
New York,2004,0.174298186,0.496293591
New York,2005,0.178905905,0.550288083
New York,2006,0.174024599,0.507488259
New York,2007,0.176857303,0.438410755
New York,2008,0.183979935,0.432510899
New York,2009,0.192619034,0.380163515
New York,2010,0.201644536,0.393770580
New York,2011,0.201614552,0.391105563
New York,2012,0.209994109,0.389073199
New York,2013,0.197800638,0.405205183
New York,2014,0.168566821,0.412344060
North Carolina,1997,0.135533754,0.671710942
North Carolina,1998,0.150915632,0.625581686
North Carolina,1999,0.166589422,0.647928523
North Carolina,2000,0.151452214,0.687764846
North Carolina,2001,0.149487431,0.704829932
North Carolina,2002,0.169171359,0.690820237
North Carolina,2003,0.191865594,0.725270931
North Carolina,2004,0.179920544,0.706846883
North Carolina,2005,0.160852569,0.705570926
North Carolina,2006,0.173002166,0.987611083
North Carolina,2007,0.182786843,0.667322666
North Carolina,2008,0.173862994,0.658618754
North Carolina,2009,0.184559492,0.532994554
North Carolina,2010,0.222681296,0.505486621
North Carolina,2011,0.218604155,0.498022879
North Carolina,2012,0.200950417,0.469396555
North Carolina,2013,0.209872016,0.446169386
North Carolina,2014,0.207056759,0.435905156
North Dakota,1997,0.136281052,0.041494287
North Dakota,1998,0.178511136,0.686926668
North Dakota,1999,0.191932243,0.746563872
North Dakota,2000,0.159797588,0.510995924
North Dakota,2001,0.152439320,0.534330468
North Dakota,2002,0.158346708,0.539344344
North Dakota,2003,0.133321390,0.615198896
North Dakota,2004,0.123281711,0.539469865
North Dakota,2005,0.124715651,0.527002761
North Dakota,2006,0.143867655,0.478475855
North Dakota,2007,0.141230843,0.414810026
North Dakota,2008,0.136133876,0.363009158
North Dakota,2009,0.137156330,0.404218231
North Dakota,2010,0.134486321,0.424565756
North Dakota,2011,0.133481231,0.395802591
North Dakota,2012,0.128660218,0.342007749
North Dakota,2013,0.125716961,0.336943136
North Dakota,2014,0.108972654,0.292609340
Ohio,1997,0.142140412,0.841434780
Ohio,1998,0.140824343,0.698172950
Ohio,1999,0.155491352,0.522540720
Ohio,2000,0.147323917,0.597807220
Ohio,2001,0.137964810,0.557326076
Ohio,2002,0.132899466,0.638743869
Ohio,2003,0.131175463,0.636067308
Ohio,2004,0.149664212,0.630100536
Ohio,2005,0.154490392,0.601403918
Ohio,2006,0.156989844,0.598624272
Ohio,2007,0.163204859,0.557860063
Ohio,2008,0.177640512,0.493675778
Ohio,2009,0.186383088,0.604163786
Ohio,2010,0.199519721,0.730519419
Ohio,2011,0.207392727,0.722854202
Ohio,2012,0.195092210,0.792037414
Ohio,2013,0.174296263,0.728147394
Ohio,2014,0.173994698,0.682038258
Oklahoma,1997,0.189803977,0.838335120
Oklahoma,1998,0.171450872,0.720162698
Oklahoma,1999,0.159802397,0.728333746
Oklahoma,2000,0.170682328,0.863647116
Oklahoma,2001,0.192576510,0.682213166
Oklahoma,2002,0.183143073,0.707535417
Oklahoma,2003,0.166186408,0.750739094
Oklahoma,2004,0.140889856,0.710136578
Oklahoma,2005,0.156270385,0.690966122
Oklahoma,2006,0.182764409,0.616670850
Oklahoma,2007,0.171129591,0.623188030
Oklahoma,2008,0.164782376,0.612737396
Oklahoma,2009,0.172723312,0.643456940
Oklahoma,2010,0.192432316,0.575050333
Oklahoma,2011,0.191519933,0.587806990
Oklahoma,2012,0.207657916,0.558729786
Oklahoma,2013,0.218383202,0.580777999
Oklahoma,2014,0.211873563,0.550355708
Oregon,1997,0.164801551,0.597408429
Oregon,1998,0.182508863,0.848594875
Oregon,1999,0.178401397,0.880228287
Oregon,2000,0.143696551,0.516776801
Oregon,2001,0.132180995,0.534755747
Oregon,2002,0.125046693,0.580169263
Oregon,2003,0.145710687,0.540935894
Oregon,2004,0.158978629,0.619191963
Oregon,2005,0.150199398,0.553919722
Oregon,2006,0.152803200,0.509849270
Oregon,2007,0.141185720,0.538631758
Oregon,2008,0.128257318,0.524722957
Oregon,2009,0.140170179,0.596277106
Oregon,2010,0.168327321,0.685703283
Oregon,2011,0.184221036,0.691869957
Oregon,2012,0.162989748,0.511827173
Oregon,2013,0.143949262,0.533272312
Oregon,2014,0.154988306,0.511672025
Pennsylvania,1997,0.136080865,0.768967128
Pennsylvania,1998,0.140727124,0.650967377
Pennsylvania,1999,0.125291312,0.578974547
Pennsylvania,2000,0.101164453,0.648047871
Pennsylvania,2001,0.103996269,0.552566168
Pennsylvania,2002,0.115059787,0.611596778
Pennsylvania,2003,0.128662868,0.619037197
Pennsylvania,2004,0.141008461,0.647097904
Pennsylvania,2005,0.142894212,0.658008804
Pennsylvania,2006,0.145275169,0.775870191
Pennsylvania,2007,0.141842164,0.745408157
Pennsylvania,2008,0.133997796,0.753025426
Pennsylvania,2009,0.130836966,0.719319150
Pennsylvania,2010,0.144901431,0.777599581
Pennsylvania,2011,0.161861177,0.733776973
Pennsylvania,2012,0.171056449,0.776033228
Pennsylvania,2013,0.163754474,0.723594294
Pennsylvania,2014,0.159693934,0.720205539
Rhode Island,1997,0.155198824,0.852668524
